,folder-1,folder-2,folder-3,folder-4,folder-5,folder-6,folder-7,folder-8,folder-9,folder-10,total_agreed,total_not_agreed
170-subfolder,12.0,12.0,12.0,11.0,12.0,11.0,11.0,12.0,11.0,12.0,10.0,0.0
171-subfolder,12.0,12.0,12.0,11.0,11.0,10.0,11.0,12.0,11.0,12.0,9.0,1.0
172-subfolder,12.0,11.0,12.0,11.0,12.0,12.0,11.0,12.0,12.0,12.0,10.0,0.0
173-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,11.0,12.0,12.0,12.0,10.0,0.0
174-subfolder,12.0,10.0,12.0,11.0,11.0,11.0,12.0,12.0,11.0,12.0,9.0,1.0
175-subfolder,12.0,12.0,12.0,11.0,11.0,12.0,11.0,12.0,12.0,12.0,10.0,0.0
176-subfolder,12.0,11.0,12.0,11.0,11.0,11.0,11.0,12.0,11.0,12.0,10.0,0.0
177-subfolder,12.0,11.0,12.0,11.0,12.0,12.0,12.0,11.0,12.0,12.0,10.0,0.0
178-subfolder,12.0,11.0,12.0,11.0,11.0,11.0,12.0,12.0,11.0,12.0,10.0,0.0
179-subfolder,12.0,10.0,12.0,11.0,12.0,11.0,12.0,12.0,12.0,12.0,9.0,1.0
180-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,12.0,12.0,11.0,12.0,10.0,0.0
181-subfolder,12.0,10.0,12.0,11.0,12.0,12.0,11.0,11.0,12.0,12.0,9.0,1.0
182-subfolder,12.0,11.0,12.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,10.0,0.0
183-subfolder,12.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,10.0,0.0
184-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,12.0,11.0,12.0,12.0,10.0,0.0
185-subfolder,12.0,11.0,12.0,11.0,11.0,10.0,11.0,12.0,12.0,12.0,9.0,1.0
186-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,11.0,11.0,12.0,12.0,10.0,0.0
187-subfolder,11.0,11.0,12.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,10.0,0.0
188-subfolder,11.0,11.0,12.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,10.0,0.0
189-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,12.0,12.0,12.0,12.0,10.0,0.0
190-subfolder,11.0,11.0,12.0,11.0,12.0,11.0,11.0,12.0,11.0,12.0,10.0,0.0
191-subfolder,12.0,11.0,12.0,11.0,11.0,12.0,12.0,12.0,12.0,11.0,10.0,0.0
192-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,12.0,12.0,11.0,12.0,10.0,0.0
193-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,11.0,12.0,11.0,12.0,10.0,0.0
194-subfolder,12.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,10.0,0.0
195-subfolder,12.0,12.0,12.0,11.0,12.0,11.0,11.0,12.0,12.0,12.0,10.0,0.0
196-subfolder,12.0,12.0,12.0,11.0,12.0,11.0,11.0,11.0,12.0,12.0,10.0,0.0
197-subfolder,11.0,10.0,12.0,11.0,11.0,11.0,11.0,12.0,11.0,12.0,9.0,1.0
198-subfolder,12.0,12.0,12.0,11.0,11.0,12.0,11.0,11.0,11.0,12.0,10.0,0.0
199-subfolder,12.0,11.0,12.0,11.0,11.0,12.0,11.0,11.0,11.0,12.0,10.0,0.0
200-subfolder,12.0,10.0,12.0,11.0,12.0,11.0,11.0,10.0,11.0,12.0,8.0,2.0
total_agreed,197.0,181.0,200.0,196.0,199.0,193.0,189.0,196.0,192.0,200.0,1943.0,0.0
total_not_agreed,3.0,19.0,0.0,4.0,1.0,7.0,11.0,4.0,8.0,0.0,0.0,57.0
